2026-04-18 15:38:51.990 [info] Reading sessions from keychain...
2026-04-18 15:38:51.990 [info] Getting sessions for all scopes...
2026-04-18 15:38:52.010 [info] Got stored sessions!
2026-04-18 15:38:52.010 [info] Got 1 verified sessions.
2026-04-18 15:38:52.010 [info] Got 1 sessions for ...
2026-04-18 15:38:52.010 [info] Getting sessions for all scopes...
2026-04-18 15:38:52.010 [info] Got 1 sessions for ...
2026-04-18 15:38:52.015 [info] Getting sessions for all scopes...
2026-04-18 15:38:52.015 [info] Got 1 sessions for ...
2026-04-18 15:38:52.061 [info] Getting sessions for all scopes...
2026-04-18 15:38:52.061 [info] Got 1 sessions for ...
2026-04-18 15:38:52.319 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-04-18 15:38:52.319 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-04-18 15:38:53.911 [info] Getting sessions for all scopes...
2026-04-18 15:38:53.911 [info] Got 1 sessions for ...
2026-04-18 15:39:48.918 [info] Getting sessions for all scopes...
2026-04-18 15:39:48.918 [info] Got 1 sessions for ...
2026-04-18 15:39:48.919 [info] Getting sessions for all scopes...
2026-04-18 15:39:48.919 [info] Got 1 sessions for ...
2026-04-18 15:39:54.872 [info] Getting sessions for all scopes...
2026-04-18 15:39:54.872 [info] Got 1 sessions for ...
2026-04-18 15:39:54.881 [info] Getting sessions for all scopes...
2026-04-18 15:39:54.881 [info] Got 1 sessions for ...
2026-04-18 15:40:24.010 [info] Getting sessions for all scopes...
2026-04-18 15:40:24.011 [info] Got 1 sessions for ...
2026-04-18 15:40:24.011 [info] Getting sessions for all scopes...
2026-04-18 15:40:24.011 [info] Got 1 sessions for ...
2026-04-18 15:40:39.328 [info] Getting sessions for all scopes...
2026-04-18 15:40:39.328 [info] Got 1 sessions for ...
2026-04-18 15:40:39.330 [info] Getting sessions for all scopes...
2026-04-18 15:40:39.330 [info] Got 1 sessions for ...
2026-04-18 15:41:45.065 [info] Getting sessions for all scopes...
2026-04-18 15:41:45.065 [info] Got 1 sessions for ...
2026-04-18 15:41:45.065 [info] Getting sessions for all scopes...
2026-04-18 15:41:45.066 [info] Got 1 sessions for ...
2026-04-18 15:41:45.860 [info] Getting sessions for all scopes...
2026-04-18 15:41:45.860 [info] Got 1 sessions for ...
2026-04-18 15:41:45.861 [info] Getting sessions for all scopes...
2026-04-18 15:41:45.861 [info] Got 1 sessions for ...
2026-04-18 15:42:27.097 [info] Getting sessions for all scopes...
2026-04-18 15:42:27.097 [info] Got 1 sessions for ...
2026-04-18 15:42:27.100 [info] Getting sessions for all scopes...
2026-04-18 15:42:27.100 [info] Got 1 sessions for ...
2026-04-18 15:42:40.906 [info] Getting sessions for all scopes...
2026-04-18 15:42:40.906 [info] Got 1 sessions for ...
2026-04-18 15:42:40.906 [info] Getting sessions for all scopes...
2026-04-18 15:42:40.906 [info] Got 1 sessions for ...
2026-04-18 15:42:50.879 [info] Getting sessions for all scopes...
2026-04-18 15:42:50.879 [info] Got 1 sessions for ...
2026-04-18 15:42:50.880 [info] Getting sessions for all scopes...
2026-04-18 15:42:50.880 [info] Got 1 sessions for ...
2026-04-18 15:42:51.900 [info] Getting sessions for all scopes...
2026-04-18 15:42:51.900 [info] Got 1 sessions for ...
2026-04-18 15:42:51.901 [info] Getting sessions for all scopes...
2026-04-18 15:42:51.901 [info] Got 1 sessions for ...
2026-04-18 15:42:56.280 [info] Getting sessions for all scopes...
2026-04-18 15:42:56.280 [info] Got 1 sessions for ...
2026-04-18 15:42:56.280 [info] Getting sessions for all scopes...
2026-04-18 15:42:56.280 [info] Got 1 sessions for ...
2026-04-18 15:43:01.716 [info] Getting sessions for all scopes...
2026-04-18 15:43:01.717 [info] Got 1 sessions for ...
2026-04-18 15:43:01.717 [info] Getting sessions for all scopes...
2026-04-18 15:43:01.717 [info] Got 1 sessions for ...
2026-04-18 15:43:36.215 [info] Getting sessions for all scopes...
2026-04-18 15:43:36.215 [info] Got 1 sessions for ...
2026-04-18 15:43:36.216 [info] Getting sessions for all scopes...
2026-04-18 15:43:36.216 [info] Got 1 sessions for ...
2026-04-18 15:43:42.561 [info] Getting sessions for all scopes...
2026-04-18 15:43:42.561 [info] Got 1 sessions for ...
2026-04-18 15:43:42.562 [info] Getting sessions for all scopes...
2026-04-18 15:43:42.562 [info] Got 1 sessions for ...
2026-04-18 15:43:45.844 [info] Getting sessions for all scopes...
2026-04-18 15:43:45.844 [info] Got 1 sessions for ...
2026-04-18 15:43:45.845 [info] Getting sessions for all scopes...
2026-04-18 15:43:45.845 [info] Got 1 sessions for ...
2026-04-18 15:43:49.382 [info] Getting sessions for all scopes...
2026-04-18 15:43:49.382 [info] Got 1 sessions for ...
2026-04-18 15:43:49.382 [info] Getting sessions for all scopes...
2026-04-18 15:43:49.382 [info] Got 1 sessions for ...
2026-04-18 15:43:53.953 [info] Getting sessions for all scopes...
2026-04-18 15:43:53.953 [info] Got 1 sessions for ...
2026-04-18 15:43:53.955 [info] Getting sessions for all scopes...
2026-04-18 15:43:53.956 [info] Got 1 sessions for ...
2026-04-18 15:44:05.300 [info] Getting sessions for all scopes...
2026-04-18 15:44:05.301 [info] Got 1 sessions for ...
2026-04-18 15:44:05.304 [info] Getting sessions for all scopes...
2026-04-18 15:44:05.304 [info] Got 1 sessions for ...
2026-04-18 15:44:09.153 [info] Getting sessions for all scopes...
2026-04-18 15:44:09.153 [info] Got 1 sessions for ...
2026-04-18 15:44:09.153 [info] Getting sessions for all scopes...
2026-04-18 15:44:09.154 [info] Got 1 sessions for ...
2026-04-18 15:44:20.454 [info] Getting sessions for all scopes...
2026-04-18 15:44:20.454 [info] Got 1 sessions for ...
2026-04-18 15:44:20.454 [info] Getting sessions for all scopes...
2026-04-18 15:44:20.454 [info] Got 1 sessions for ...
2026-04-18 15:45:37.730 [info] Getting sessions for all scopes...
2026-04-18 15:45:37.730 [info] Got 1 sessions for ...
2026-04-18 15:45:37.730 [info] Getting sessions for all scopes...
2026-04-18 15:45:37.730 [info] Got 1 sessions for ...
2026-04-18 15:45:38.179 [info] Getting sessions for all scopes...
2026-04-18 15:45:38.179 [info] Got 1 sessions for ...
2026-04-18 15:45:38.180 [info] Getting sessions for all scopes...
2026-04-18 15:45:38.180 [info] Got 1 sessions for ...
2026-04-18 15:45:47.221 [info] Getting sessions for all scopes...
2026-04-18 15:45:47.221 [info] Got 1 sessions for ...
2026-04-18 15:45:47.224 [info] Getting sessions for all scopes...
2026-04-18 15:45:47.224 [info] Got 1 sessions for ...
2026-04-18 15:45:50.097 [info] Getting sessions for all scopes...
2026-04-18 15:45:50.097 [info] Got 1 sessions for ...
2026-04-18 15:45:50.099 [info] Getting sessions for all scopes...
2026-04-18 15:45:50.099 [info] Got 1 sessions for ...
2026-04-18 15:45:51.738 [info] Getting sessions for all scopes...
2026-04-18 15:45:51.738 [info] Got 1 sessions for ...
2026-04-18 15:45:51.745 [info] Getting sessions for all scopes...
2026-04-18 15:45:51.745 [info] Got 1 sessions for ...
2026-04-18 15:46:05.772 [info] Getting sessions for all scopes...
2026-04-18 15:46:05.772 [info] Got 1 sessions for ...
2026-04-18 15:46:05.779 [info] Getting sessions for all scopes...
2026-04-18 15:46:05.779 [info] Got 1 sessions for ...
2026-04-18 15:46:10.692 [info] Getting sessions for all scopes...
2026-04-18 15:46:10.692 [info] Got 1 sessions for ...
2026-04-18 15:46:10.693 [info] Getting sessions for all scopes...
2026-04-18 15:46:10.693 [info] Got 1 sessions for ...
2026-04-18 15:46:10.839 [info] Getting sessions for all scopes...
2026-04-18 15:46:10.839 [info] Got 1 sessions for ...
2026-04-18 15:46:10.842 [info] Getting sessions for all scopes...
2026-04-18 15:46:10.842 [info] Got 1 sessions for ...
2026-04-18 15:46:16.192 [info] Getting sessions for all scopes...
2026-04-18 15:46:16.192 [info] Got 1 sessions for ...
2026-04-18 15:46:16.192 [info] Getting sessions for all scopes...
2026-04-18 15:46:16.192 [info] Got 1 sessions for ...
2026-04-18 15:46:58.638 [info] Getting sessions for all scopes...
2026-04-18 15:46:58.638 [info] Got 1 sessions for ...
2026-04-18 15:46:58.638 [info] Getting sessions for all scopes...
2026-04-18 15:46:58.638 [info] Got 1 sessions for ...
2026-04-18 15:47:06.620 [info] Getting sessions for all scopes...
2026-04-18 15:47:06.620 [info] Got 1 sessions for ...
2026-04-18 15:47:06.624 [info] Getting sessions for all scopes...
2026-04-18 15:47:06.624 [info] Got 1 sessions for ...
2026-04-18 15:47:24.088 [info] Getting sessions for all scopes...
2026-04-18 15:47:24.088 [info] Got 1 sessions for ...
2026-04-18 15:47:24.089 [info] Getting sessions for all scopes...
2026-04-18 15:47:24.089 [info] Got 1 sessions for ...
2026-04-18 15:47:32.055 [info] Getting sessions for all scopes...
2026-04-18 15:47:32.055 [info] Got 1 sessions for ...
2026-04-18 15:47:32.064 [info] Getting sessions for all scopes...
2026-04-18 15:47:32.064 [info] Got 1 sessions for ...
2026-04-18 15:47:33.099 [info] Getting sessions for all scopes...
2026-04-18 15:47:33.099 [info] Got 1 sessions for ...
2026-04-18 15:47:33.100 [info] Getting sessions for all scopes...
2026-04-18 15:47:33.100 [info] Got 1 sessions for ...
2026-04-18 15:47:33.713 [info] Getting sessions for all scopes...
2026-04-18 15:47:33.714 [info] Got 1 sessions for ...
2026-04-18 15:47:33.717 [info] Getting sessions for all scopes...
2026-04-18 15:47:33.717 [info] Got 1 sessions for ...
2026-04-18 15:47:49.872 [info] Getting sessions for all scopes...
2026-04-18 15:47:49.872 [info] Got 1 sessions for ...
2026-04-18 15:47:49.873 [info] Getting sessions for all scopes...
2026-04-18 15:47:49.873 [info] Got 1 sessions for ...
2026-04-18 15:48:31.525 [info] Getting sessions for all scopes...
2026-04-18 15:48:31.529 [info] Got 1 sessions for ...
2026-04-18 15:48:31.529 [info] Getting sessions for all scopes...
2026-04-18 15:48:31.529 [info] Got 1 sessions for ...
2026-04-18 15:48:40.094 [info] Getting sessions for all scopes...
2026-04-18 15:48:40.094 [info] Got 1 sessions for ...
2026-04-18 15:48:40.098 [info] Getting sessions for all scopes...
2026-04-18 15:48:40.098 [info] Got 1 sessions for ...
2026-04-18 15:49:05.317 [info] Getting sessions for all scopes...
2026-04-18 15:49:05.317 [info] Got 1 sessions for ...
2026-04-18 15:49:05.318 [info] Getting sessions for all scopes...
2026-04-18 15:49:05.318 [info] Got 1 sessions for ...
2026-04-18 15:49:10.675 [info] Getting sessions for all scopes...
2026-04-18 15:49:10.675 [info] Got 1 sessions for ...
2026-04-18 15:49:10.684 [info] Getting sessions for all scopes...
2026-04-18 15:49:10.684 [info] Got 1 sessions for ...
2026-04-18 15:49:13.490 [info] Getting sessions for all scopes...
2026-04-18 15:49:13.490 [info] Got 1 sessions for ...
2026-04-18 15:49:13.492 [info] Getting sessions for all scopes...
2026-04-18 15:49:13.492 [info] Got 1 sessions for ...
2026-04-18 15:49:23.524 [info] Getting sessions for all scopes...
2026-04-18 15:49:23.525 [info] Got 1 sessions for ...
2026-04-18 15:49:23.532 [info] Getting sessions for all scopes...
2026-04-18 15:49:23.532 [info] Got 1 sessions for ...
2026-04-18 15:49:36.871 [info] Getting sessions for all scopes...
2026-04-18 15:49:36.871 [info] Got 1 sessions for ...
2026-04-18 15:49:36.871 [info] Getting sessions for all scopes...
2026-04-18 15:49:36.871 [info] Got 1 sessions for ...
2026-04-18 15:49:39.193 [info] Getting sessions for all scopes...
2026-04-18 15:49:39.195 [info] Got 1 sessions for ...
2026-04-18 15:49:39.196 [info] Getting sessions for all scopes...
2026-04-18 15:49:39.196 [info] Got 1 sessions for ...
2026-04-18 15:49:54.110 [info] Getting sessions for all scopes...
2026-04-18 15:49:54.110 [info] Got 1 sessions for ...
2026-04-18 15:49:54.112 [info] Getting sessions for all scopes...
2026-04-18 15:49:54.112 [info] Got 1 sessions for ...
2026-04-18 15:49:56.373 [info] Getting sessions for all scopes...
2026-04-18 15:49:56.373 [info] Got 1 sessions for ...
2026-04-18 15:49:56.375 [info] Getting sessions for all scopes...
