2026-04-18 13:07:15.375 [info] Reading sessions from keychain...
2026-04-18 13:07:15.375 [info] Getting sessions for all scopes...
2026-04-18 13:07:15.397 [info] Got stored sessions!
2026-04-18 13:07:15.397 [info] Got 1 verified sessions.
2026-04-18 13:07:15.397 [info] Got 1 sessions for ...
2026-04-18 13:07:15.398 [info] Getting sessions for all scopes...
2026-04-18 13:07:15.398 [info] Got 1 sessions for ...
2026-04-18 13:07:15.433 [info] Getting sessions for all scopes...
2026-04-18 13:07:15.433 [info] Got 1 sessions for ...
2026-04-18 13:07:15.477 [info] Getting sessions for all scopes...
2026-04-18 13:07:15.477 [info] Got 1 sessions for ...
2026-04-18 13:07:15.708 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-04-18 13:07:15.708 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-04-18 13:07:17.311 [info] Getting sessions for all scopes...
2026-04-18 13:07:17.311 [info] Got 1 sessions for ...
2026-04-18 13:07:17.864 [info] Getting sessions for all scopes...
2026-04-18 13:07:17.864 [info] Got 1 sessions for ...
2026-04-18 13:07:17.864 [info] Getting sessions for all scopes...
2026-04-18 13:07:17.864 [info] Got 1 sessions for ...
2026-04-18 13:07:19.715 [info] Getting sessions for all scopes...
2026-04-18 13:07:19.715 [info] Got 1 sessions for ...
2026-04-18 13:07:19.716 [info] Getting sessions for all scopes...
2026-04-18 13:07:19.716 [info] Got 1 sessions for ...
2026-04-18 13:07:23.268 [info] Getting sessions for all scopes...
2026-04-18 13:07:23.268 [info] Got 1 sessions for ...
2026-04-18 13:07:23.269 [info] Getting sessions for all scopes...
2026-04-18 13:07:23.269 [info] Got 1 sessions for ...
2026-04-18 13:07:23.684 [info] Getting sessions for all scopes...
2026-04-18 13:07:23.684 [info] Got 1 sessions for ...
2026-04-18 13:07:23.684 [info] Getting sessions for all scopes...
2026-04-18 13:07:23.684 [info] Got 1 sessions for ...
2026-04-18 13:07:24.003 [info] Getting sessions for all scopes...
2026-04-18 13:07:24.003 [info] Got 1 sessions for ...
2026-04-18 13:07:24.004 [info] Getting sessions for all scopes...
2026-04-18 13:07:24.004 [info] Got 1 sessions for ...
2026-04-18 13:07:24.343 [info] Getting sessions for all scopes...
2026-04-18 13:07:24.343 [info] Got 1 sessions for ...
2026-04-18 13:07:24.343 [info] Getting sessions for all scopes...
2026-04-18 13:07:24.343 [info] Got 1 sessions for ...
2026-04-18 13:07:24.697 [info] Getting sessions for all scopes...
