2026-04-16 11:10:02.443 [info] Reading sessions from keychain...
2026-04-16 11:10:02.443 [info] Getting sessions for all scopes...
2026-04-16 11:10:02.443 [info] Got stored sessions!
2026-04-16 11:10:02.443 [info] Got 1 verified sessions.
2026-04-16 11:10:02.443 [info] Got 1 sessions for ...
2026-04-16 11:10:02.443 [info] Getting sessions for all scopes...
2026-04-16 11:10:02.443 [info] Got 1 sessions for ...
2026-04-16 11:10:02.443 [info] Getting sessions for all scopes...
2026-04-16 11:10:02.443 [info] Got 1 sessions for ...
2026-04-16 11:10:02.496 [info] Getting sessions for all scopes...
2026-04-16 11:10:02.496 [info] Got 1 sessions for ...
2026-04-16 11:10:02.725 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-04-16 11:10:02.726 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-04-16 11:10:04.371 [info] Getting sessions for all scopes...
2026-04-16 11:10:04.371 [info] Got 1 sessions for ...
2026-04-16 11:10:09.831 [info] Getting sessions for all scopes...
2026-04-16 11:10:09.831 [info] Got 1 sessions for ...
2026-04-16 11:10:09.831 [info] Getting sessions for all scopes...
2026-04-16 11:10:09.831 [info] Got 1 sessions for ...
2026-04-16 11:10:40.048 [info] Getting sessions for all scopes...
2026-04-16 11:10:40.049 [info] Got 1 sessions for ...
2026-04-16 11:10:40.050 [info] Getting sessions for all scopes...
2026-04-16 11:10:40.050 [info] Got 1 sessions for ...
2026-04-16 11:10:54.209 [info] Getting sessions for all scopes...
2026-04-16 11:10:54.209 [info] Got 1 sessions for ...
2026-04-16 11:10:54.211 [info] Getting sessions for all scopes...
2026-04-16 11:10:54.211 [info] Got 1 sessions for ...
2026-04-16 11:10:55.352 [info] Getting sessions for all scopes...
2026-04-16 11:10:55.352 [info] Got 1 sessions for ...
2026-04-16 11:10:55.352 [info] Getting sessions for all scopes...
2026-04-16 11:10:55.352 [info] Got 1 sessions for ...
2026-04-16 11:11:18.966 [info] Getting sessions for all scopes...
2026-04-16 11:11:18.967 [info] Got 1 sessions for ...
2026-04-16 11:11:18.967 [info] Getting sessions for all scopes...
2026-04-16 11:11:18.967 [info] Got 1 sessions for ...
2026-04-16 11:11:21.558 [info] Getting sessions for all scopes...
2026-04-16 11:11:21.558 [info] Got 1 sessions for ...
2026-04-16 11:11:21.558 [info] Getting sessions for all scopes...
2026-04-16 11:11:21.558 [info] Got 1 sessions for ...
2026-04-16 11:11:26.998 [info] Getting sessions for all scopes...
2026-04-16 11:11:26.998 [info] Got 1 sessions for ...
2026-04-16 11:11:26.999 [info] Getting sessions for all scopes...
2026-04-16 11:11:26.999 [info] Got 1 sessions for ...
2026-04-16 11:11:30.208 [info] Getting sessions for all scopes...
2026-04-16 11:11:30.208 [info] Got 1 sessions for ...
2026-04-16 11:11:30.209 [info] Getting sessions for all scopes...
2026-04-16 11:11:30.209 [info] Got 1 sessions for ...
2026-04-16 11:11:45.774 [info] Getting sessions for all scopes...
2026-04-16 11:11:45.774 [info] Got 1 sessions for ...
2026-04-16 11:11:45.775 [info] Getting sessions for all scopes...
2026-04-16 11:11:45.775 [info] Got 1 sessions for ...
2026-04-16 11:11:54.385 [info] Getting sessions for all scopes...
2026-04-16 11:11:54.385 [info] Got 1 sessions for ...
2026-04-16 11:11:54.385 [info] Getting sessions for all scopes...
2026-04-16 11:11:54.385 [info] Got 1 sessions for ...
2026-04-16 11:11:57.736 [info] Getting sessions for all scopes...
2026-04-16 11:11:57.736 [info] Got 1 sessions for ...
2026-04-16 11:11:57.736 [info] Getting sessions for all scopes...
2026-04-16 11:11:57.736 [info] Got 1 sessions for ...
2026-04-16 11:12:27.266 [info] Getting sessions for all scopes...
2026-04-16 11:12:27.266 [info] Got 1 sessions for ...
2026-04-16 11:12:27.267 [info] Getting sessions for all scopes...
2026-04-16 11:12:27.267 [info] Got 1 sessions for ...
2026-04-16 11:12:28.802 [info] Getting sessions for all scopes...
2026-04-16 11:12:28.802 [info] Got 1 sessions for ...
2026-04-16 11:12:28.804 [info] Getting sessions for all scopes...
2026-04-16 11:12:28.804 [info] Got 1 sessions for ...
2026-04-16 11:12:59.341 [info] Getting sessions for all scopes...
