2026-04-18 16:26:47.101 [info] Reading sessions from keychain...
2026-04-18 16:26:47.101 [info] Getting sessions for all scopes...
2026-04-18 16:26:47.101 [info] Got stored sessions!
2026-04-18 16:26:47.101 [info] Got 1 verified sessions.
2026-04-18 16:26:47.101 [info] Got 1 sessions for ...
2026-04-18 16:26:47.101 [info] Getting sessions for all scopes...
2026-04-18 16:26:47.101 [info] Got 1 sessions for ...
2026-04-18 16:26:47.105 [info] Getting sessions for all scopes...
2026-04-18 16:26:47.105 [info] Got 1 sessions for ...
2026-04-18 16:26:47.154 [info] Getting sessions for all scopes...
2026-04-18 16:26:47.154 [info] Got 1 sessions for ...
2026-04-18 16:26:47.566 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-04-18 16:26:47.566 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-04-18 16:26:48.939 [info] Getting sessions for all scopes...
2026-04-18 16:26:48.939 [info] Got 1 sessions for ...
2026-04-18 16:26:49.617 [info] Getting sessions for all scopes...
2026-04-18 16:26:49.617 [info] Got 1 sessions for ...
2026-04-18 16:26:49.619 [info] Getting sessions for all scopes...
2026-04-18 16:26:49.619 [info] Got 1 sessions for ...
2026-04-18 16:26:53.077 [info] Getting sessions for all scopes...
2026-04-18 16:26:53.077 [info] Got 1 sessions for ...
2026-04-18 16:26:53.077 [info] Getting sessions for all scopes...
2026-04-18 16:26:53.077 [info] Got 1 sessions for ...
2026-04-18 16:27:05.716 [info] Getting sessions for all scopes...
2026-04-18 16:27:05.716 [info] Got 1 sessions for ...
2026-04-18 16:27:05.719 [info] Getting sessions for all scopes...
2026-04-18 16:27:05.720 [info] Got 1 sessions for ...
2026-04-18 16:27:06.627 [info] Getting sessions for all scopes...
2026-04-18 16:27:06.627 [info] Got 1 sessions for ...
2026-04-18 16:27:06.628 [info] Getting sessions for all scopes...
2026-04-18 16:27:06.628 [info] Got 1 sessions for ...
2026-04-18 16:27:07.957 [info] Getting sessions for all scopes...
2026-04-18 16:27:07.957 [info] Got 1 sessions for ...
2026-04-18 16:27:07.960 [info] Getting sessions for all scopes...
2026-04-18 16:27:07.960 [info] Got 1 sessions for ...
2026-04-18 16:27:12.477 [info] Getting sessions for all scopes...
2026-04-18 16:27:12.477 [info] Got 1 sessions for ...
2026-04-18 16:27:12.478 [info] Getting sessions for all scopes...
2026-04-18 16:27:12.478 [info] Got 1 sessions for ...
2026-04-18 16:27:21.096 [info] Getting sessions for all scopes...
2026-04-18 16:27:21.096 [info] Got 1 sessions for ...
2026-04-18 16:27:21.100 [info] Getting sessions for all scopes...
2026-04-18 16:27:21.101 [info] Got 1 sessions for ...
2026-04-18 16:27:26.259 [info] Getting sessions for all scopes...
2026-04-18 16:27:26.259 [info] Got 1 sessions for ...
2026-04-18 16:27:26.260 [info] Getting sessions for all scopes...
2026-04-18 16:27:26.260 [info] Got 1 sessions for ...
2026-04-18 16:27:44.908 [info] Getting sessions for all scopes...
2026-04-18 16:27:44.908 [info] Got 1 sessions for ...
2026-04-18 16:27:44.913 [info] Getting sessions for all scopes...
2026-04-18 16:27:44.913 [info] Got 1 sessions for ...
2026-04-18 16:27:49.636 [info] Getting sessions for all scopes...
2026-04-18 16:27:49.636 [info] Got 1 sessions for ...
2026-04-18 16:27:49.638 [info] Getting sessions for all scopes...
2026-04-18 16:27:49.638 [info] Got 1 sessions for ...
2026-04-18 16:28:05.391 [info] Getting sessions for all scopes...
2026-04-18 16:28:05.391 [info] Got 1 sessions for ...
2026-04-18 16:28:05.392 [info] Getting sessions for all scopes...
2026-04-18 16:28:05.392 [info] Got 1 sessions for ...
2026-04-18 16:28:13.554 [info] Getting sessions for all scopes...
2026-04-18 16:28:13.554 [info] Got 1 sessions for ...
2026-04-18 16:28:13.556 [info] Getting sessions for all scopes...
2026-04-18 16:28:13.556 [info] Got 1 sessions for ...
2026-04-18 16:28:28.189 [info] Getting sessions for all scopes...
2026-04-18 16:28:28.189 [info] Got 1 sessions for ...
2026-04-18 16:28:28.194 [info] Getting sessions for all scopes...
2026-04-18 16:28:28.194 [info] Got 1 sessions for ...
2026-04-18 16:28:33.442 [info] Getting sessions for all scopes...
2026-04-18 16:28:33.442 [info] Got 1 sessions for ...
2026-04-18 16:28:33.444 [info] Getting sessions for all scopes...
2026-04-18 16:28:33.444 [info] Got 1 sessions for ...
2026-04-18 16:28:35.602 [info] Getting sessions for all scopes...
2026-04-18 16:28:35.602 [info] Got 1 sessions for ...
2026-04-18 16:28:35.603 [info] Getting sessions for all scopes...
2026-04-18 16:28:35.603 [info] Got 1 sessions for ...
2026-04-18 16:28:41.215 [info] Getting sessions for all scopes...
2026-04-18 16:28:41.215 [info] Got 1 sessions for ...
2026-04-18 16:28:41.215 [info] Getting sessions for all scopes...
2026-04-18 16:28:41.215 [info] Got 1 sessions for ...
2026-04-18 16:28:45.141 [info] Getting sessions for all scopes...
2026-04-18 16:28:45.141 [info] Got 1 sessions for ...
2026-04-18 16:28:45.142 [info] Getting sessions for all scopes...
2026-04-18 16:28:45.142 [info] Got 1 sessions for ...
2026-04-18 16:28:56.965 [info] Getting sessions for all scopes...
2026-04-18 16:28:56.965 [info] Got 1 sessions for ...
2026-04-18 16:28:56.973 [info] Getting sessions for all scopes...
2026-04-18 16:28:56.974 [info] Got 1 sessions for ...
2026-04-18 16:29:04.125 [info] Getting sessions for all scopes...
2026-04-18 16:29:04.125 [info] Got 1 sessions for ...
2026-04-18 16:29:04.128 [info] Getting sessions for all scopes...
2026-04-18 16:29:04.128 [info] Got 1 sessions for ...
2026-04-18 16:29:05.318 [info] Getting sessions for all scopes...
2026-04-18 16:29:05.318 [info] Got 1 sessions for ...
2026-04-18 16:29:05.319 [info] Getting sessions for all scopes...
2026-04-18 16:29:05.319 [info] Got 1 sessions for ...
2026-04-18 16:29:19.304 [info] Getting sessions for all scopes...
2026-04-18 16:29:19.304 [info] Got 1 sessions for ...
2026-04-18 16:29:19.305 [info] Getting sessions for all scopes...
2026-04-18 16:29:19.305 [info] Got 1 sessions for ...
2026-04-18 16:29:44.998 [info] Getting sessions for all scopes...
2026-04-18 16:29:44.998 [info] Got 1 sessions for ...
2026-04-18 16:29:44.998 [info] Getting sessions for all scopes...
2026-04-18 16:29:44.998 [info] Got 1 sessions for ...
2026-04-18 16:29:47.542 [info] Getting sessions for all scopes...
2026-04-18 16:29:47.542 [info] Got 1 sessions for ...
2026-04-18 16:29:47.543 [info] Getting sessions for all scopes...
2026-04-18 16:29:47.543 [info] Got 1 sessions for ...
2026-04-18 16:29:54.156 [info] Getting sessions for all scopes...
2026-04-18 16:29:54.159 [info] Got 1 sessions for ...
2026-04-18 16:29:54.162 [info] Getting sessions for all scopes...
2026-04-18 16:29:54.162 [info] Got 1 sessions for ...
2026-04-18 16:29:58.139 [info] Getting sessions for all scopes...
2026-04-18 16:29:58.139 [info] Got 1 sessions for ...
2026-04-18 16:29:58.140 [info] Getting sessions for all scopes...
2026-04-18 16:29:58.140 [info] Got 1 sessions for ...
2026-04-18 16:30:19.350 [info] Getting sessions for all scopes...
2026-04-18 16:30:19.351 [info] Got 1 sessions for ...
2026-04-18 16:30:19.351 [info] Getting sessions for all scopes...
2026-04-18 16:30:19.351 [info] Got 1 sessions for ...
2026-04-18 16:30:35.877 [info] Getting sessions for all scopes...
2026-04-18 16:30:35.877 [info] Got 1 sessions for ...
2026-04-18 16:30:35.934 [info] Getting sessions for all scopes...
2026-04-18 16:30:35.934 [info] Got 1 sessions for ...
2026-04-18 16:30:56.873 [info] Getting sessions for all scopes...
2026-04-18 16:30:56.873 [info] Got 1 sessions for ...
2026-04-18 16:30:56.874 [info] Getting sessions for all scopes...
2026-04-18 16:30:56.874 [info] Got 1 sessions for ...
2026-04-18 16:31:05.248 [info] Getting sessions for all scopes...
2026-04-18 16:31:05.248 [info] Got 1 sessions for ...
2026-04-18 16:31:05.248 [info] Getting sessions for all scopes...
2026-04-18 16:31:05.248 [info] Got 1 sessions for ...
