2026-04-18 10:58:44.420 [info] Reading sessions from keychain...
2026-04-18 10:58:44.420 [info] Getting sessions for all scopes...
2026-04-18 10:58:44.445 [info] Got stored sessions!
2026-04-18 10:58:44.445 [info] Got 1 verified sessions.
2026-04-18 10:58:44.445 [info] Got 1 sessions for ...
2026-04-18 10:58:44.445 [info] Getting sessions for all scopes...
2026-04-18 10:58:44.445 [info] Got 1 sessions for ...
2026-04-18 10:58:44.478 [info] Getting sessions for all scopes...
2026-04-18 10:58:44.479 [info] Got 1 sessions for ...
2026-04-18 10:58:44.527 [info] Getting sessions for all scopes...
2026-04-18 10:58:44.527 [info] Got 1 sessions for ...
2026-04-18 10:58:45.162 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-04-18 10:58:45.163 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-04-18 10:58:45.324 [info] Getting sessions for all scopes...
2026-04-18 10:58:45.324 [info] Got 1 sessions for ...
2026-04-18 10:58:45.340 [info] Getting sessions for all scopes...
2026-04-18 10:58:45.340 [info] Got 1 sessions for ...
2026-04-18 10:58:46.101 [info] Getting sessions for all scopes...
2026-04-18 10:58:46.101 [info] Got 1 sessions for ...
2026-04-18 10:58:48.037 [info] Getting sessions for all scopes...
2026-04-18 10:58:48.037 [info] Got 1 sessions for ...
2026-04-18 10:58:48.038 [info] Getting sessions for all scopes...
2026-04-18 10:58:48.038 [info] Got 1 sessions for ...
2026-04-18 11:00:18.182 [info] Getting sessions for all scopes...
2026-04-18 11:00:18.182 [info] Got 1 sessions for ...
2026-04-18 11:00:18.183 [info] Getting sessions for all scopes...
2026-04-18 11:00:18.183 [info] Got 1 sessions for ...
2026-04-18 11:00:21.582 [info] Getting sessions for all scopes...
2026-04-18 11:00:21.582 [info] Got 1 sessions for ...
2026-04-18 11:00:21.582 [info] Getting sessions for all scopes...
2026-04-18 11:00:21.583 [info] Got 1 sessions for ...
2026-04-18 11:00:29.637 [info] Getting sessions for all scopes...
2026-04-18 11:00:29.637 [info] Got 1 sessions for ...
2026-04-18 11:00:29.638 [info] Getting sessions for all scopes...
2026-04-18 11:00:29.638 [info] Got 1 sessions for ...
2026-04-18 11:00:58.706 [info] Getting sessions for all scopes...
2026-04-18 11:00:58.706 [info] Got 1 sessions for ...
2026-04-18 11:00:58.709 [info] Getting sessions for all scopes...
2026-04-18 11:00:58.709 [info] Got 1 sessions for ...
2026-04-18 11:01:25.674 [info] Getting sessions for all scopes...
2026-04-18 11:01:25.674 [info] Got 1 sessions for ...
2026-04-18 11:01:25.675 [info] Getting sessions for all scopes...
2026-04-18 11:01:25.675 [info] Got 1 sessions for ...
2026-04-18 11:01:28.048 [info] Getting sessions for all scopes...
2026-04-18 11:01:28.048 [info] Got 1 sessions for ...
2026-04-18 11:01:28.049 [info] Getting sessions for all scopes...
2026-04-18 11:01:28.049 [info] Got 1 sessions for ...
2026-04-18 11:01:37.980 [info] Getting sessions for all scopes...
2026-04-18 11:01:37.980 [info] Got 1 sessions for ...
2026-04-18 11:01:37.982 [info] Getting sessions for all scopes...
2026-04-18 11:01:37.982 [info] Got 1 sessions for ...
2026-04-18 11:01:54.430 [info] Getting sessions for all scopes...
2026-04-18 11:01:54.430 [info] Got 1 sessions for ...
2026-04-18 11:01:54.447 [info] Getting sessions for all scopes...
2026-04-18 11:01:54.447 [info] Got 1 sessions for ...
2026-04-18 11:02:24.829 [info] Getting sessions for all scopes...
2026-04-18 11:02:24.829 [info] Got 1 sessions for ...
2026-04-18 11:02:24.831 [info] Getting sessions for all scopes...
2026-04-18 11:02:24.831 [info] Got 1 sessions for ...
2026-04-18 11:02:53.934 [info] Getting sessions for all scopes...
2026-04-18 11:02:53.934 [info] Got 1 sessions for ...
2026-04-18 11:02:53.948 [info] Getting sessions for all scopes...
