2026-04-19 19:36:59.408 [info] Reading sessions from keychain...
2026-04-19 19:36:59.408 [info] Getting sessions for all scopes...
2026-04-19 19:36:59.426 [info] Got stored sessions!
2026-04-19 19:36:59.426 [info] Got 1 verified sessions.
2026-04-19 19:36:59.426 [info] Got 1 sessions for ...
2026-04-19 19:36:59.426 [info] Getting sessions for all scopes...
2026-04-19 19:36:59.426 [info] Got 1 sessions for ...
2026-04-19 19:36:59.431 [info] Getting sessions for all scopes...
2026-04-19 19:36:59.431 [info] Got 1 sessions for ...
2026-04-19 19:36:59.453 [info] Getting sessions for all scopes...
2026-04-19 19:36:59.453 [info] Got 1 sessions for ...
2026-04-19 19:36:59.880 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-04-19 19:36:59.880 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-04-19 19:37:01.075 [info] Getting sessions for all scopes...
2026-04-19 19:37:01.076 [info] Got 1 sessions for ...
2026-04-19 19:37:05.307 [info] Getting sessions for all scopes...
2026-04-19 19:37:05.307 [info] Got 1 sessions for ...
2026-04-19 19:37:05.308 [info] Getting sessions for all scopes...
2026-04-19 19:37:05.308 [info] Got 1 sessions for ...
2026-04-19 19:37:26.056 [info] Getting sessions for all scopes...
2026-04-19 19:37:26.056 [info] Got 1 sessions for ...
2026-04-19 19:37:26.056 [info] Getting sessions for all scopes...
2026-04-19 19:37:26.056 [info] Got 1 sessions for ...
2026-04-19 19:37:55.503 [info] Getting sessions for all scopes...
2026-04-19 19:37:55.503 [info] Got 1 sessions for ...
2026-04-19 19:37:55.504 [info] Getting sessions for all scopes...
2026-04-19 19:37:55.504 [info] Got 1 sessions for ...
2026-04-19 19:37:58.321 [info] Getting sessions for all scopes...
2026-04-19 19:37:58.321 [info] Got 1 sessions for ...
2026-04-19 19:37:58.321 [info] Getting sessions for all scopes...
2026-04-19 19:37:58.321 [info] Got 1 sessions for ...
2026-04-19 19:38:04.151 [info] Getting sessions for all scopes...
2026-04-19 19:38:04.151 [info] Got 1 sessions for ...
2026-04-19 19:38:04.152 [info] Getting sessions for all scopes...
2026-04-19 19:38:04.152 [info] Got 1 sessions for ...
2026-04-19 19:38:06.075 [info] Getting sessions for all scopes...
2026-04-19 19:38:06.075 [info] Got 1 sessions for ...
2026-04-19 19:38:06.075 [info] Getting sessions for all scopes...
2026-04-19 19:38:06.075 [info] Got 1 sessions for ...
2026-04-19 19:38:14.478 [info] Getting sessions for all scopes...
2026-04-19 19:38:14.478 [info] Got 1 sessions for ...
2026-04-19 19:38:14.480 [info] Getting sessions for all scopes...
2026-04-19 19:38:14.480 [info] Got 1 sessions for ...
2026-04-19 19:38:23.426 [info] Getting sessions for all scopes...
2026-04-19 19:38:23.426 [info] Got 1 sessions for ...
2026-04-19 19:38:23.427 [info] Getting sessions for all scopes...
2026-04-19 19:38:23.427 [info] Got 1 sessions for ...
2026-04-19 19:38:26.924 [info] Getting sessions for all scopes...
2026-04-19 19:38:26.924 [info] Got 1 sessions for ...
2026-04-19 19:38:26.925 [info] Getting sessions for all scopes...
2026-04-19 19:38:26.925 [info] Got 1 sessions for ...
2026-04-19 19:38:28.053 [info] Getting sessions for all scopes...
2026-04-19 19:38:28.053 [info] Got 1 sessions for ...
2026-04-19 19:38:28.054 [info] Getting sessions for all scopes...
2026-04-19 19:38:28.054 [info] Got 1 sessions for ...
2026-04-19 19:38:31.740 [info] Getting sessions for all scopes...
2026-04-19 19:38:31.740 [info] Got 1 sessions for ...
2026-04-19 19:38:31.741 [info] Getting sessions for all scopes...
2026-04-19 19:38:31.741 [info] Got 1 sessions for ...
2026-04-19 19:38:39.970 [info] Getting sessions for all scopes...
2026-04-19 19:38:39.970 [info] Got 1 sessions for ...
2026-04-19 19:38:39.971 [info] Getting sessions for all scopes...
2026-04-19 19:38:39.971 [info] Got 1 sessions for ...
2026-04-19 19:39:12.620 [info] Getting sessions for all scopes...
2026-04-19 19:39:12.620 [info] Got 1 sessions for ...
2026-04-19 19:39:12.620 [info] Getting sessions for all scopes...
2026-04-19 19:39:12.620 [info] Got 1 sessions for ...
2026-04-19 19:39:17.640 [info] Getting sessions for all scopes...
2026-04-19 19:39:17.640 [info] Got 1 sessions for ...
2026-04-19 19:39:17.640 [info] Getting sessions for all scopes...
2026-04-19 19:39:17.640 [info] Got 1 sessions for ...
2026-04-19 19:39:21.030 [info] Getting sessions for all scopes...
2026-04-19 19:39:21.030 [info] Got 1 sessions for ...
2026-04-19 19:39:21.030 [info] Getting sessions for all scopes...
2026-04-19 19:39:21.030 [info] Got 1 sessions for ...
2026-04-19 19:39:25.933 [info] Getting sessions for all scopes...
2026-04-19 19:39:25.933 [info] Got 1 sessions for ...
2026-04-19 19:39:25.936 [info] Getting sessions for all scopes...
2026-04-19 19:39:25.936 [info] Got 1 sessions for ...
2026-04-19 19:39:27.111 [info] Getting sessions for all scopes...
2026-04-19 19:39:27.111 [info] Got 1 sessions for ...
2026-04-19 19:39:27.111 [info] Getting sessions for all scopes...
